record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,755.00,,,,755.00,Collecting baseline... RawAvg=755.00
baseline,754.80,,,,754.80,Collecting baseline... RawAvg=754.80
baseline,754.80,,,,754.80,Collecting baseline... RawAvg=754.80
baseline,754.60,,,,754.60,Collecting baseline... RawAvg=754.60
baseline,754.60,,,,754.60,Collecting baseline... RawAvg=754.60
baseline,754.00,,,,754.00,Collecting baseline... RawAvg=754.00
baseline,754.00,,,,754.00,Collecting baseline... RawAvg=754.00
baseline,754.20,,,,754.20,Collecting baseline... RawAvg=754.20
baseline,754.60,,,,754.60,Collecting baseline... RawAvg=754.60
baseline,755.20,,,,755.20,Collecting baseline... RawAvg=755.20
baseline,756.00,,,,756.00,Collecting baseline... RawAvg=756.00
baseline,756.80,,,,756.80,Collecting baseline... RawAvg=756.80
baseline,757.40,,,,757.40,Collecting baseline... RawAvg=757.40
baseline,757.80,,,,757.80,Collecting baseline... RawAvg=757.80
baseline,757.80,,,,757.80,Collecting baseline... RawAvg=757.80
baseline,757.40,,,,757.40,Collecting baseline... RawAvg=757.40
baseline,756.80,,,,756.80,Collecting baseline... RawAvg=756.80
baseline,756.20,,,,756.20,Collecting baseline... RawAvg=756.20
baseline,755.40,,,,755.40,Collecting baseline... RawAvg=755.40
baseline,754.60,,,,754.60,Collecting baseline... RawAvg=754.60
baseline,754.00,,,,754.00,Collecting baseline... RawAvg=754.00
baseline,753.60,,,,753.60,Collecting baseline... RawAvg=753.60
baseline,753.40,,,,753.40,Collecting baseline... RawAvg=753.40
baseline,753.40,,,,753.40,Collecting baseline... RawAvg=753.40
baseline,753.80,,,,753.80,Collecting baseline... RawAvg=753.80
baseline,754.40,,,,754.40,Collecting baseline... RawAvg=754.40
baseline,755.00,,,,755.00,Collecting baseline... RawAvg=755.00
baseline,755.60,,,,755.60,Collecting baseline... RawAvg=755.60
baseline,756.20,,,,756.20,Collecting baseline... RawAvg=756.20
baseline,756.80,,,,756.80,Collecting baseline... RawAvg=756.80
baseline,757.00,,,,757.00,Collecting baseline... RawAvg=757.00
baseline,757.40,,,,757.40,Collecting baseline... RawAvg=757.40
baseline,757.40,,,,757.40,Collecting baseline... RawAvg=757.40
baseline,757.20,,,,757.20,Collecting baseline... RawAvg=757.20
baseline,756.60,,,,756.60,Collecting baseline... RawAvg=756.60
baseline,756.20,,,,756.20,Collecting baseline... RawAvg=756.20
baseline,755.40,,,,755.40,Collecting baseline... RawAvg=755.40
baseline,754.60,,,,754.60,Collecting baseline... RawAvg=754.60
baseline,754.00,,,,754.00,Collecting baseline... RawAvg=754.00
baseline,753.60,,,,753.60,Collecting baseline... RawAvg=753.60
baseline,753.40,,,,753.40,Collecting baseline... RawAvg=753.40
baseline,753.60,,,,753.60,Collecting baseline... RawAvg=753.60
baseline,753.80,,,,753.80,Collecting baseline... RawAvg=753.80
baseline,754.20,,,,754.20,Collecting baseline... RawAvg=754.20
baseline,754.60,,,,754.60,Collecting baseline... RawAvg=754.60
baseline,755.20,,,,755.20,Collecting baseline... RawAvg=755.20
baseline,755.80,,,,755.80,Collecting baseline... RawAvg=755.80
baseline,756.60,,,,756.60,Collecting baseline... RawAvg=756.60
baseline,757.00,,,,757.00,Collecting baseline... RawAvg=757.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,755.34,,,755.34,Final Base Raw Average = 755.34
info,,,,,,--------------------------------------------------------------------------
data,,755.3,757.4,2.1,757.4,Time=0.1s | BaseRaw=755.3 | CurrentRaw=757.4 | Change=2.1 => Floor
data,,755.3,756.8,1.5,756.8,Time=0.2s | BaseRaw=755.3 | CurrentRaw=756.8 | Change=1.5 => Floor
data,,755.3,756.0,0.7,756.0,Time=0.3s | BaseRaw=755.3 | CurrentRaw=756.0 | Change=0.7 => Floor
data,,755.3,755.6,0.3,755.6,Time=0.4s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.8,0.5,755.8,Time=0.5s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=0.6s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.6,0.3,755.6,Time=0.7s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.6,0.3,755.6,Time=0.8s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.8,0.5,755.8,Time=0.9s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=1.0s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=1.1s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.6,0.3,755.6,Time=1.2s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.6,0.3,755.6,Time=1.3s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.6,0.3,755.6,Time=1.4s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.4,0.1,755.4,Time=1.5s | BaseRaw=755.3 | CurrentRaw=755.4 | Change=0.1 => Floor
data,,755.3,755.2,0.1,755.2,Time=1.6s | BaseRaw=755.3 | CurrentRaw=755.2 | Change=0.1 => Floor
data,,755.3,755.2,0.1,755.2,Time=1.7s | BaseRaw=755.3 | CurrentRaw=755.2 | Change=0.1 => Floor
data,,755.3,755.2,0.1,755.2,Time=1.8s | BaseRaw=755.3 | CurrentRaw=755.2 | Change=0.1 => Floor
data,,755.3,755.4,0.1,755.4,Time=1.9s | BaseRaw=755.3 | CurrentRaw=755.4 | Change=0.1 => Floor
data,,755.3,755.4,0.1,755.4,Time=2.0s | BaseRaw=755.3 | CurrentRaw=755.4 | Change=0.1 => Floor
data,,755.3,755.2,0.1,755.2,Time=2.1s | BaseRaw=755.3 | CurrentRaw=755.2 | Change=0.1 => Floor
data,,755.3,755.2,0.1,755.2,Time=2.2s | BaseRaw=755.3 | CurrentRaw=755.2 | Change=0.1 => Floor
data,,755.3,755.4,0.1,755.4,Time=2.3s | BaseRaw=755.3 | CurrentRaw=755.4 | Change=0.1 => Floor
data,,755.3,755.6,0.3,755.6,Time=2.4s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.8,0.5,755.8,Time=2.5s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=2.6s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,756.0,0.7,756.0,Time=2.7s | BaseRaw=755.3 | CurrentRaw=756.0 | Change=0.7 => Floor
data,,755.3,756.0,0.7,756.0,Time=2.8s | BaseRaw=755.3 | CurrentRaw=756.0 | Change=0.7 => Floor
data,,755.3,756.0,0.7,756.0,Time=2.9s | BaseRaw=755.3 | CurrentRaw=756.0 | Change=0.7 => Floor
data,,755.3,755.8,0.5,755.8,Time=3.0s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=3.1s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=3.2s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=3.3s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=3.4s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=3.5s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.4,0.1,755.4,Time=3.6s | BaseRaw=755.3 | CurrentRaw=755.4 | Change=0.1 => Floor
data,,755.3,755.2,0.1,755.2,Time=3.7s | BaseRaw=755.3 | CurrentRaw=755.2 | Change=0.1 => Floor
data,,755.3,755.4,0.1,755.4,Time=3.8s | BaseRaw=755.3 | CurrentRaw=755.4 | Change=0.1 => Floor
data,,755.3,755.2,0.1,755.2,Time=3.9s | BaseRaw=755.3 | CurrentRaw=755.2 | Change=0.1 => Floor
data,,755.3,755.0,0.3,755.0,Time=4.0s | BaseRaw=755.3 | CurrentRaw=755.0 | Change=0.3 => Floor
data,,755.3,755.0,0.3,755.0,Time=4.1s | BaseRaw=755.3 | CurrentRaw=755.0 | Change=0.3 => Floor
data,,755.3,755.4,0.1,755.4,Time=4.2s | BaseRaw=755.3 | CurrentRaw=755.4 | Change=0.1 => Floor
data,,755.3,755.6,0.3,755.6,Time=4.3s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.8,0.5,755.8,Time=4.4s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.6,0.3,755.6,Time=4.5s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.6,0.3,755.6,Time=4.6s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.6,0.3,755.6,Time=4.7s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.8,0.5,755.8,Time=4.8s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.6,0.3,755.6,Time=4.9s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.6,0.3,755.6,Time=5.0s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.8,0.5,755.8,Time=5.1s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.8,0.5,755.8,Time=5.2s | BaseRaw=755.3 | CurrentRaw=755.8 | Change=0.5 => Floor
data,,755.3,755.6,0.3,755.6,Time=5.3s | BaseRaw=755.3 | CurrentRaw=755.6 | Change=0.3 => Floor
data,,755.3,755.4,0.1,755.4,Time=5.4s | BaseRaw=755.3 | CurrentRaw=755.4 | Change=0.1 => Floor
data,,755.3,754.8,0.5,754.8,Time=5.5s | BaseRaw=755.3 | CurrentRaw=754.8 | Change=0.5 => Floor
data,,755.3,754.2,1.1,754.2,Time=5.6s | BaseRaw=755.3 | CurrentRaw=754.2 | Change=1.1 => Floor
data,,755.3,754.0,1.3,754.0,Time=5.7s | BaseRaw=755.3 | CurrentRaw=754.0 | Change=1.3 => Floor
data,,755.3,753.8,1.5,753.8,Time=5.8s | BaseRaw=755.3 | CurrentRaw=753.8 | Change=1.5 => Floor
data,,755.3,754.0,1.3,754.0,Time=5.9s | BaseRaw=755.3 | CurrentRaw=754.0 | Change=1.3 => Floor
data,,755.3,755.4,0.1,755.4,Time=6.0s | BaseRaw=755.3 | CurrentRaw=755.4 | Change=0.1 => Floor
data,,755.3,758.2,2.9,758.2,Time=6.1s | BaseRaw=755.3 | CurrentRaw=758.2 | Change=2.9 => Floor
data,,755.3,761.0,5.7,761.0,Time=6.2s | BaseRaw=755.3 | CurrentRaw=761.0 | Change=5.7 => Floor
data,,755.3,763.4,8.1,763.4,Time=6.3s | BaseRaw=755.3 | CurrentRaw=763.4 | Change=8.1 => Floor
data,,755.3,764.6,9.3,764.6,Time=6.4s | BaseRaw=755.3 | CurrentRaw=764.6 | Change=9.3 => Floor
data,,755.3,763.4,8.1,763.4,Time=6.5s | BaseRaw=755.3 | CurrentRaw=763.4 | Change=8.1 => Floor
