record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.20,,,,712.20,Collecting baseline... RawAvg=712.20
baseline,711.60,,,,711.60,Collecting baseline... RawAvg=711.60
baseline,711.20,,,,711.20,Collecting baseline... RawAvg=711.20
baseline,711.00,,,,711.00,Collecting baseline... RawAvg=711.00
baseline,711.20,,,,711.20,Collecting baseline... RawAvg=711.20
baseline,711.60,,,,711.60,Collecting baseline... RawAvg=711.60
baseline,712.00,,,,712.00,Collecting baseline... RawAvg=712.00
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.40,,,,714.40,Collecting baseline... RawAvg=714.40
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,714.80,,,,714.80,Collecting baseline... RawAvg=714.80
baseline,714.40,,,,714.40,Collecting baseline... RawAvg=714.40
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,711.60,,,,711.60,Collecting baseline... RawAvg=711.60
baseline,711.20,,,,711.20,Collecting baseline... RawAvg=711.20
baseline,711.00,,,,711.00,Collecting baseline... RawAvg=711.00
baseline,710.80,,,,710.80,Collecting baseline... RawAvg=710.80
baseline,711.00,,,,711.00,Collecting baseline... RawAvg=711.00
baseline,711.40,,,,711.40,Collecting baseline... RawAvg=711.40
baseline,711.80,,,,711.80,Collecting baseline... RawAvg=711.80
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,713.20,,,,713.20,Collecting baseline... RawAvg=713.20
baseline,713.60,,,,713.60,Collecting baseline... RawAvg=713.60
baseline,714.00,,,,714.00,Collecting baseline... RawAvg=714.00
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,714.20,,,,714.20,Collecting baseline... RawAvg=714.20
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,713.40,,,,713.40,Collecting baseline... RawAvg=713.40
baseline,713.00,,,,713.00,Collecting baseline... RawAvg=713.00
baseline,712.60,,,,712.60,Collecting baseline... RawAvg=712.60
baseline,711.80,,,,711.80,Collecting baseline... RawAvg=711.80
baseline,711.20,,,,711.20,Collecting baseline... RawAvg=711.20
baseline,711.00,,,,711.00,Collecting baseline... RawAvg=711.00
baseline,710.80,,,,710.80,Collecting baseline... RawAvg=710.80
baseline,710.60,,,,710.60,Collecting baseline... RawAvg=710.60
baseline,711.00,,,,711.00,Collecting baseline... RawAvg=711.00
baseline,711.40,,,,711.40,Collecting baseline... RawAvg=711.40
baseline,711.60,,,,711.60,Collecting baseline... RawAvg=711.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,712.48,,,712.48,Final Base Raw Average = 712.48
info,,,,,,--------------------------------------------------------------------------
data,,712.5,712.8,0.3,712.8,Time=0.1s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,713.2,0.7,713.2,Time=0.2s | BaseRaw=712.5 | CurrentRaw=713.2 | Change=0.7 => Floor
data,,712.5,713.2,0.7,713.2,Time=0.3s | BaseRaw=712.5 | CurrentRaw=713.2 | Change=0.7 => Floor
data,,712.5,712.8,0.3,712.8,Time=0.4s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,712.4,0.1,712.4,Time=0.5s | BaseRaw=712.5 | CurrentRaw=712.4 | Change=0.1 => Floor
data,,712.5,712.4,0.1,712.4,Time=0.6s | BaseRaw=712.5 | CurrentRaw=712.4 | Change=0.1 => Floor
data,,712.5,712.4,0.1,712.4,Time=0.7s | BaseRaw=712.5 | CurrentRaw=712.4 | Change=0.1 => Floor
data,,712.5,712.4,0.1,712.4,Time=0.8s | BaseRaw=712.5 | CurrentRaw=712.4 | Change=0.1 => Floor
data,,712.5,712.4,0.1,712.4,Time=0.9s | BaseRaw=712.5 | CurrentRaw=712.4 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=1.0s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=1.1s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=1.2s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=1.3s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.8,0.3,712.8,Time=1.4s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,712.6,0.1,712.6,Time=1.5s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=1.6s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.4,0.1,712.4,Time=1.7s | BaseRaw=712.5 | CurrentRaw=712.4 | Change=0.1 => Floor
data,,712.5,712.0,0.5,712.0,Time=1.8s | BaseRaw=712.5 | CurrentRaw=712.0 | Change=0.5 => Floor
data,,712.5,712.0,0.5,712.0,Time=1.9s | BaseRaw=712.5 | CurrentRaw=712.0 | Change=0.5 => Floor
data,,712.5,712.2,0.3,712.2,Time=2.0s | BaseRaw=712.5 | CurrentRaw=712.2 | Change=0.3 => Floor
data,,712.5,712.2,0.3,712.2,Time=2.1s | BaseRaw=712.5 | CurrentRaw=712.2 | Change=0.3 => Floor
data,,712.5,712.2,0.3,712.2,Time=2.2s | BaseRaw=712.5 | CurrentRaw=712.2 | Change=0.3 => Floor
data,,712.5,712.2,0.3,712.2,Time=2.3s | BaseRaw=712.5 | CurrentRaw=712.2 | Change=0.3 => Floor
data,,712.5,712.2,0.3,712.2,Time=2.4s | BaseRaw=712.5 | CurrentRaw=712.2 | Change=0.3 => Floor
data,,712.5,712.2,0.3,712.2,Time=2.5s | BaseRaw=712.5 | CurrentRaw=712.2 | Change=0.3 => Floor
data,,712.5,712.2,0.3,712.2,Time=2.6s | BaseRaw=712.5 | CurrentRaw=712.2 | Change=0.3 => Floor
data,,712.5,712.0,0.5,712.0,Time=2.7s | BaseRaw=712.5 | CurrentRaw=712.0 | Change=0.5 => Floor
data,,712.5,712.0,0.5,712.0,Time=2.8s | BaseRaw=712.5 | CurrentRaw=712.0 | Change=0.5 => Floor
data,,712.5,712.2,0.3,712.2,Time=2.9s | BaseRaw=712.5 | CurrentRaw=712.2 | Change=0.3 => Floor
data,,712.5,712.4,0.1,712.4,Time=3.0s | BaseRaw=712.5 | CurrentRaw=712.4 | Change=0.1 => Floor
data,,712.5,712.4,0.1,712.4,Time=3.1s | BaseRaw=712.5 | CurrentRaw=712.4 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=3.2s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=3.3s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=3.4s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.8,0.3,712.8,Time=3.5s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,712.8,0.3,712.8,Time=3.6s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,712.6,0.1,712.6,Time=3.7s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.8,0.3,712.8,Time=3.8s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,712.8,0.3,712.8,Time=3.9s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,712.8,0.3,712.8,Time=4.0s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,712.8,0.3,712.8,Time=4.1s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,712.8,0.3,712.8,Time=4.2s | BaseRaw=712.5 | CurrentRaw=712.8 | Change=0.3 => Floor
data,,712.5,712.6,0.1,712.6,Time=4.3s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=4.4s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.6,0.1,712.6,Time=4.5s | BaseRaw=712.5 | CurrentRaw=712.6 | Change=0.1 => Floor
data,,712.5,712.2,0.3,712.2,Time=4.6s | BaseRaw=712.5 | CurrentRaw=712.2 | Change=0.3 => Floor
data,,712.5,711.4,1.1,711.4,Time=4.7s | BaseRaw=712.5 | CurrentRaw=711.4 | Change=1.1 => Floor
data,,712.5,711.0,1.5,711.0,Time=4.8s | BaseRaw=712.5 | CurrentRaw=711.0 | Change=1.5 => Floor
data,,712.5,710.8,1.7,710.8,Time=4.9s | BaseRaw=712.5 | CurrentRaw=710.8 | Change=1.7 => Floor
data,,712.5,710.4,2.1,710.4,Time=5.0s | BaseRaw=712.5 | CurrentRaw=710.4 | Change=2.1 => Floor
data,,712.5,710.2,2.3,710.2,Time=5.1s | BaseRaw=712.5 | CurrentRaw=710.2 | Change=2.3 => Floor
data,,712.5,710.4,2.1,710.4,Time=5.2s | BaseRaw=712.5 | CurrentRaw=710.4 | Change=2.1 => Floor
data,,712.5,710.4,2.1,710.4,Time=5.3s | BaseRaw=712.5 | CurrentRaw=710.4 | Change=2.1 => Floor
data,,712.5,710.4,2.1,710.4,Time=5.4s | BaseRaw=712.5 | CurrentRaw=710.4 | Change=2.1 => Floor
data,,712.5,710.2,2.3,710.2,Time=5.5s | BaseRaw=712.5 | CurrentRaw=710.2 | Change=2.3 => Floor
data,,712.5,710.0,2.5,710.0,Time=5.6s | BaseRaw=712.5 | CurrentRaw=710.0 | Change=2.5 => Floor
data,,712.5,709.6,2.9,709.6,Time=5.7s | BaseRaw=712.5 | CurrentRaw=709.6 | Change=2.9 => Floor
data,,712.5,709.6,2.9,709.6,Time=5.8s | BaseRaw=712.5 | CurrentRaw=709.6 | Change=2.9 => Floor
data,,712.5,709.6,2.9,709.6,Time=5.9s | BaseRaw=712.5 | CurrentRaw=709.6 | Change=2.9 => Floor
data,,712.5,709.6,2.9,709.6,Time=6.0s | BaseRaw=712.5 | CurrentRaw=709.6 | Change=2.9 => Floor
data,,712.5,709.6,2.9,709.6,Time=6.1s | BaseRaw=712.5 | CurrentRaw=709.6 | Change=2.9 => Floor
data,,712.5,710.0,2.5,710.0,Time=6.2s | BaseRaw=712.5 | CurrentRaw=710.0 | Change=2.5 => Floor
data,,712.5,710.6,1.9,710.6,Time=6.3s | BaseRaw=712.5 | CurrentRaw=710.6 | Change=1.9 => Floor
data,,712.5,711.2,1.3,711.2,Time=6.4s | BaseRaw=712.5 | CurrentRaw=711.2 | Change=1.3 => Floor
data,,712.5,712.0,0.5,712.0,Time=6.5s | BaseRaw=712.5 | CurrentRaw=712.0 | Change=0.5 => Floor
